step,mass,maxu
0,363,0.0326
1,363,0.017
2,363,0.0315
3,363,0.024
4,363,0.0289
5,363,0.0251
6,363,0.028
7,363,0.0253
8,363,0.0276
9,363,0.0254
10,363,0.0272
11,363,0.0254
12,363,0.0274
13,363,0.0257
14,363,0.0276
15,363,0.026
16,363,0.0276
17,363,0.0261
18,363,0.0274
19,363,0.026
20,363,0.0272
21,363,0.0258
22,363,0.027
23,363,0.0257
24,363,0.0269
25,363,0.0257
26,363,0.0268
27,363,0.0256
28,363,0.0267
29,363,0.0256
30,363,0.0266
31,363,0.0256
32,363,0.0265
33,363,0.0263
34,363,0.0281
35,363,0.0296
36,363,0.0309
37,363,0.0321
38,363,0.033
39,363,0.0338
40,363,0.0344
41,363,0.035
42,363,0.0353
43,363,0.0358
44,363,0.0361
45,363,0.0364
46,363,0.0366
47,363,0.0369
48,363,0.0371
49,363,0.0373
50,363,0.0374
51,363,0.0376
52,363,0.0377
53,363,0.0378
54,363,0.0379
55,363,0.038
56,363,0.038
57,363,0.0381
58,363,0.0407
59,363,0.0411
60,363,0.0441
61,363,0.0441
62,363,0.0471
63,363,0.0467
64,363,0.0496
65,363,0.0488
66,363,0.0515
67,363,0.0504
68,363,0.0529
69,363,0.0516
70,363,0.0539
71,363,0.0525
72,363,0.0546
73,363,0.0531
74,363,0.0552
75,363,0.0536
76,363,0.0556
77,363,0.0539
78,363,0.0558
79,363,0.0541
80,363,0.056
81,363,0.0543
82,363,0.0561
83,363,0.0544
84,363,0.0562
85,363,0.0544
86,363,0.0562
87,363,0.0545
88,363,0.0562
89,363,0.0544
90,363,0.0561
91,363,0.0544
92,363,0.056
93,363,0.0543
94,363,0.0559
95,363,0.055
96,363,0.0558
97,363,0.0565
98,363,0.0573
99,363,0.0579
100,363,0.0585
101,363,0.0589
102,363,0.0594
103,363,0.0598
104,363,0.0602
105,363,0.0605
106,363,0.0608
107,363,0.061
108,363,0.0612
109,363,0.0614
110,363,0.0616
111,363,0.0617
112,363,0.0618
113,363,0.0619
114,363,0.062
115,363,0.062
116,363,0.0637
117,363,0.0627
118,363,0.0653
119,363,0.0643
120,363,0.067
121,363,0.0658
122,363,0.0685
123,363,0.0672
124,363,0.0699
125,363,0.0685
126,363,0.0712
127,363,0.0696
128,363,0.0722
129,363,0.0705
130,363,0.0731
131,363,0.0712
132,363,0.0738
133,363,0.0718
134,363,0.0743
135,363,0.0723
136,363,0.0747
137,363,0.0727
138,363,0.0751
139,363,0.0729
140,363,0.0753
141,363,0.0731
142,363,0.0754
143,363,0.0732
144,363,0.0755
145,363,0.0733
146,363,0.0755
147,363,0.0733
148,363,0.0755
149,363,0.0733
150,363,0.0755
151,363,0.0733
152,363,0.0755
153,363,0.0733
154,363,0.0755
155,363,0.0734
156,363,0.0755
157,363,0.0734
158,363,0.0756
159,363,0.0736
160,363,0.0758
161,363,0.0738
162,363,0.0761
163,363,0.0744
164,363,0.0764
165,363,0.0749
166,363,0.0769
167,363,0.0753
168,363,0.0775
169,363,0.0756
170,363,0.0781
171,363,0.0763
172,363,0.0789
173,363,0.0771
174,363,0.0797
175,363,0.0779
176,363,0.0806
177,363,0.0787
178,363,0.0815
179,363,0.0795
180,363,0.0823
181,363,0.0803
182,363,0.0831
183,363,0.0811
184,363,0.0839
185,363,0.0817
186,363,0.0846
187,363,0.0823
188,363,0.0852
189,363,0.0829
190,363,0.0857
191,363,0.0833
192,363,0.0861
193,363,0.0837
194,363,0.0864
195,363,0.084
196,363,0.0867
197,363,0.0842
198,363,0.0869
